id,tc,pretty_formula
mp-1048012,25.474943,Ba2Ca3Tl2(SnO3)4
mp-1048032,51.37712,BaTl(SbO3)2
mp-1048073,62.566055,Ba2AlCu3O7
mp-1048083,42.92045,BaTl(SnO3)2
mp-1048100,53.391033,BaTl(BiO3)2
mp-1048103,21.686535,Ba2Mn3AlO8
mp-1048114,20.314928,BaCrF7
mp-1048124,28.245762,Ba2Cr3O8
mp-1048148,16.13576,Al2(CuO2)3
mp-1048153,24.34277,Ba2AlFe3O8
mp-1048162,26.749271,Ba2AlV3O8
mp-1048172,30.69096,Ba2Mn3O8
mp-1048180,35.912537,Ba2AlCo3O8
mp-1048188,26.553312,Ba2Sn3O7
mp-1048224,23.757315,Ba2AlNi3O8
mp-1048316,16.429817,Ba2YCo3O7
mp-1048319,33.27643,Ba2Mn3AlO7
mp-1048321,23.540188,Ba2YMn3O7
mp-1048330,26.442064,Ba2AlCr3O7
mp-1048339,67.407845,Ba2Tl2Zn3(CoO3)4
mp-1048346,41.495247,Ba2AlV3O7
mp-1048352,93.42312,Ba2Ca3Tl2(NiO3)4
mp-1048370,27.144402,Ba2AlW3O7
mp-1048379,29.706295,Ba2YV3O7
mp-1048426,17.676895,Ba2YNi3O7
mp-1048433,42.62937,Ba2AlTlNi2O7
mp-1048438,25.116402,Ba2AlTlCr2O7
mp-1048444,29.943182,Ba2TlMo2O7
mp-1048447,23.41988,Ba2YMn2TlO7
mp-1048457,25.000061,Ba2Mn2AlTlO7
mp-1048461,59.139294,Ba2Mn2TlO7
mp-1048468,20.54974,Ba2YW3O7
mp-1048483,34.923462,Ba2AlNi3O7
mp-1048495,30.883484,Ba2Fe3O7
mp-1048496,42.850548,Ba2Co3O7
mp-1048501,37.444626,Ba2W3O7
mp-1048510,33.15764,Ba2Mo3O7
mp-1048511,42.520035,Ba2Mn3O7
mp-1048539,55.63694,Ba2Cr3O7
mp-1048549,69.539024,Ba2Ca3Mn4Tl2O12
mp-1048554,32.75339,Ba2Ni3O7
mp-1048574,35.081806,Ba2Mn4Tl2Zn3O12
mp-1048584,52.518105,Ba2Tl2Zn3(FeO3)4
mp-1048597,16.84584,ZnCr2O5
mp-1048633,42.6659,Ba2Ca3Tl2V4O12
mp-1059242,20.930729,ClO
mp-1062842,16.658678,MgF2
mp-1066989,17.830149,H2
mp-1068300,23.092781,Ca(FeAs)2
mp-10694,15.096068,ScF3
mp-1069855,15.29727,Co(ClO)2
mp-1072956,20.33555,MgF2
mp-1075902,17.946136,EuCuO3
mp-1076118,39.28685,Sr6Ca2Co7CuO20
mp-1076139,15.956209,Ca7MgFeCo7O24
mp-1076147,31.52496,Sr2Ca2Fe3CoO10
mp-1076163,30.488731,Sr4Ca4Mn7FeO20
mp-1076175,68.59133,Sr4Ca4Co7CuO20
mp-1076184,44.8696,SrCa3Mn4O10
mp-1076189,24.97057,Ba3Sr(Cu2O5)2
mp-1076190,19.035963,Sr4Ca4Mn5Fe3O20
mp-1076197,27.447262,Sr2Ca2Mn3FeO10
mp-1076198,86.08932,Sr2Ca6Fe3(CoO4)5
mp-1076207,39.690765,Ca7MgTiMn7O20
mp-1076223,21.163895,Eu2Ni2O5
mp-1076273,71.62028,Sr2Ca2Co3CuO10
mp-1076428,40.259136,Sr5Ca3Fe4(CoO5)4
mp-1076439,32.00904,Ba2Co2O5
mp-1076449,58.71216,SrCa7Mn7FeO20
mp-1076450,22.94255,Sr3Ca5Mn4(FeO5)4
mp-1076470,99.15076,Sr2Ca6Co7CuO20
mp-1076479,74.938675,Sr3Ca5FeCo7O20
mp-1076482,23.074615,Sr3Ca5Mn3(FeO4)5
mp-1076488,29.1934,Sr6Ca2Fe3(CoO4)5
mp-1076496,27.39875,SrCaMn2O5
mp-1076502,55.516315,Sr4Ca4Fe3(CoO4)5
mp-1076526,89.07477,Ca7Mg(Co2O5)4
mp-1076601,16.831131,Sr5Ca3Mn6(FeO10)2
mp-1076614,59.394264,Sr3Ca5Fe5Co3O20
mp-1076630,19.702547,KNa7V8O20
mp-1076675,91.14375,SrCa3(Co2O5)2
mp-1076678,43.739372,Sr6Ca2Co5Cu3O20
mp-1076750,36.950974,Sr3Ca5Mn7FeO20
mp-1076769,18.390968,Sr6Ca2Fe5Co3O20
mp-1076776,23.062138,SrCa3TiMn3O10
mp-1076800,66.352165,BaCuO3
mp-1076821,17.877869,KNa7V7CrO20
mp-1076862,44.37399,Sr2Ca6Mn5Fe3O20
mp-1076877,34.837425,Sr2Ca6TiMn7O20
mp-1076897,49.84924,Ca7MgMn8O20
mp-1077164,15.950096,LiTi(SO)2
mp-1077688,44.204376,SrCa7TiMn7O20
mp-1077691,57.265793,SrCa7Mn6(FeO10)2
mp-1077695,24.60556,Sr3Ca5TiMn7O20
mp-1078018,28.387835,La(ClO)3
mp-1078081,21.515299,K2CuF4
mp-1078205,15.578617,KRb2InF6
mp-1078233,17.10187,H3CCl
mp-1078300,16.490948,ScF3
mp-1078510,21.921167,
mp-1078615,15.2222395,Mg(ClO3)2
